just checked my user timeline on my	user-timeline
is stressing out because my blackberry keeps flashing a red alert status for no reason!! its faking me out and i hate it!!!	red-status alert-status
dear pandora - my blackberry storm wants you but can't have you...yet?	pandora-dear blackberry-storm
wheres my @robgold601  blackberry messenger is not the same	@robgold601-messenger blackberry-messenger
brittany needs help fixing her blackberry!!! sad day	sad-day
so i signed onto curly tail's twitter site and i have no idea how to get it to work on my blackberry - i feel like my mom   drea	curly-tail twitter-site mom-drea
... downloaded the new youmail blackberry app.  it won't download my old messages	new-youmail old-messages
stupid blackberry. my memorys crap	stupid-blackberry memorys-crap
i wish i had verizon...i want that new blackberry click phone.	i-i wish-i new-phone blackberry-phone click-phone
didn't manage to get my blackberry today  maybe next month.	blackberry-today next-month
uuu twitter de pe blackberry. foarte misto dar nu e stilizat	twitter-blackberry de-blackberry pe-blackberry foarte-misto dar-stilizat nu-stilizat e-stilizat
is feeling unforgivably stupid for dropping aek's blackberry  so sorry ka.	sorry-ka
blackberry bout to die  still @ the hard rock doing documentary shit!!	blackberry-bout hard-rock documentary-shit
too many attempts at fixing my blackberry's rollerball have rendered it kaput. time to get a new one	many-attempts kaput-time new-one
lets try this update again...thanks o reliable blackberry *not*   ive got a terrible headache	update-o again.thanks-o *-ive terrible-headache
which #blackberry #twitter app updates location based on gps data? twitterberry lacks this option	#twitter-location app-location updates-location gps-data
thinking technology hates me this morning- blackberry sat there thinking for an hour while i waited to make a call and car radio is out	thinking-technology call-radio
@scotmckay how can i listen to the show? all i have is my blackberry  is it on the internet? i tried the link and it gave me an error msg.	error-msg
guess ill be twittering from my blackberry ! still no luck w/ d pc frm work	luck-w d-work pc-work frm-work
@oreolude i dropped it and some of the buttons dont work when i try to text! i switched back to my blackberry	buttons-dont
@brightkite yet still no blackberry app? glad your have been listening	blackberry-app
anyone here able to download a file from blackberrys website 4me then put on a dropbox or simuilar	blackberrys-4me website-4me
@shedboy once u done #blackberry u never go back.can't type on the iphone  machine gun app get's u through crowded streets quicker thou	u-done #blackberry-u t-type iphone-app machine-app gun-app crowded-streets thou-streets
got a new blackberry still trying to learn how to use it?!.... and its late! have to be a work 2mrw! its the kentucky derby!... who ppi!	new-blackberry work-2mrw the-derby kentucky-derby
just had the best cup of tea everr! and wants a blackberry phone!!	cup-best blackberry-phone
is missing his blackberry right now!! there is no real way of fixing it though	real-way
verizon blackberry sucks major balls!! i just wanna c if this goes thru...but bb storm really does suck.	major-balls thru.but-storm bb-storm
@cmxiv i eft my blackberry 8900 in the back of a car service taxi yesterday right before my premiere and was soo sick... thought of u	right-blackberry car-taxi service-taxi yesterday-right
i miss my $500 blackberry curve	curve-$ 500-$ blackberry-curve
trying to get a blackberry bold...but can't find a carrier in my area.	blackberry-bold.but
havig trackball issues with my blackberry.  can only scroll left	issues-havig trackball-issues
@vixster25 internet 1 drawing 0 ....damn i'm backing up blackberry files which could take hours  then to the drawing preps done	@vixster25-internet blackberry-files preps-drawing
wondering why the blackberry browser is saying connection refused	blackberry-browser
just noticed that sprintv no longer has a cnn channel. no more watching frm my blackberry. this is terribble...just terrible!	cnn-channel
i want my blackberry back  i'm over my sidekick lx.	sidekick-lx
@msblackberry305 but if i go with u guys who's gonna cook his burgers? i can't jus abandon him	u-guys
went to see glass candy tonight with my guy. my blackberry screen is cracked. poor bb!  anyone know how to replace it?	glass-candy blackberry-screen poor-bb
why do all the twitter apps for blackberry suck? i want my iphone back	twitter-apps blackberry-i suck-i
i need to get this on my blackberry how do you do that ?  hola at me please. mwah xx	mwah-xx
i dont finf the fu*kin lcd screen for my blackberry	kin-screen lcd-screen
i cant get twitter on my blackberry!  i hate my job and waking up before 10 am	i-cant
no laptop   all correspondence by blackberry.  thank goodness for apps.	laptop-correspondence
@stephenfry i can only read every other letter of that on my blackberry	@stephenfry-i other-letter
@krucial hey k rocking the other night! i just  got ya message! damn blackberry	other-night ya-message
i want a blackberry sooo bad	blackberry-sooo
�ertwitter beta-2 released great twitter blackberry client!  but so far no bis channel   but great for wifi!!! http://viigo.im/xnb	ertwitter-beta-2 great-twitter twitter-client bis-channel wifi-http://viigo.im/xnb
my blackberry crashed and i lost all my contacts!  message me your numbers! about 3 hours ago	blackberry-crashed
@sheblobbers boo   have you found new link for blackberry app world??	new-link blackberry-world app-world
@brittany_darby wooo i got it now im just tryin to learn it aha brittany im addicted to my phone  accompany me to blackberry anonymous aha	@brittany_darby-i wooo-i anonymous-aha
i need a new stupid blackberry. its official. mine hates me and decides not to work sometimes. it ruins my plans	new-blackberry stupid-blackberry
lost my blackberry  sniff sniff	sniff-sniff
my blackberry is messed up. cnt receive tx  so im abt 2 treat myself 2 an i-phone 3g. bbl after i purchase it. lata!...	messed-lata im-abt i-phone-3g
@blackberryphil the first public beta disabled my audio line-in on my laptop. i hope this is just a bug and not ms in bed with the riaa	@blackberryphil-beta first-beta public-beta audio-line-in laptop-hope i-hope
if you twitter bug dont hear from me much today its because my phone battery is pretty low  dont die blackberry! dont die	bug-dont much-today phone-battery blackberry-dont
it's not the sh.. i can't connect on my blackberry either.  #googlewtf @futuristicplans @3ba	sh-i blackberry-3ba @-3ba
@pblieu ahhh.. i dont have a blackberry.	@pblieu-ahhh
i neeed a blackberry asap!	blackberry-asap
i need a blackberry bold but im brokes	bold-brokes
@rinapinabina lol me too! what mobile do u have - i want a blackberry! i just bought a treadmill tho so might have to wait for a new ph	treadmill-tho new-ph
hopes the blackberry hospital can save her phone	blackberry-hospital
*sigh*  i think my blackberry just suffered a catastrophic failure	catastrophic-failure
why is the blackberry pearl the only one i can find in pink?!	blackberry-pearl only-i
why isn't there a blackberry app for friendfeed?  http://myloc.me/12ff	blackberry-app friendfeed-http://myloc.me/12ff
@atrustaijitu awww. can't view it on my blackberry. says unavailble for mobiles	@atrustaijitu-awww
sorry -- my phone was doing the stupid blackberry purge thing again	stupid-thing blackberry-thing purge-thing
point in fact; i do not have twitter or facebook on my blackberry  -- so sad!	sad-blackberry
twitter is broke i think! i'm not getting my new followers on my blackberry.  anyone else having issues getting new follower notices now?	new-followers blackberry-else anyone-else new-notices follower-notices
so tiered after a day in the car. also jelouse that my little brothe has a blackberry not fair	little-brothe fair-blackberry
just remembered that the hmac-sha1 blackberry issue still exists	hmac-sha1-issue blackberry-issue
@so_ethnic101 : blackberry cool abis	cool-abis
starting the day (and week) with reporting a &quot;blocker&quot; bug for the new blackberry release of salvo i found while walking this morning	blocker-bug new-release blackberry-release salvo-i
grrrrrrrrrr. twitterberry isnt opening on blackberry anymore... &quot;uncaught exception out of memory error&quot;   its one problem after another!	isnt-grrrrrrrrrr memory-error
blackberry is still the boss when it comes to corporate users. my nokia e71 is struggling	corporate-users nokia-e71
@blackberryman i want to writing something	@blackberryman-i
staring at a blackberry pearl makes me wanna wish my phone back. now i'm just depressed.	blackberry-pearl
not a happy bunny today twitter on my blackberry won't work properly	happy-twitter bunny-today
anyone own a telus blackberry that they are willing to sell to me ??? mine went awall	telus-mine
apparently blackberrys don't survive falling into beers  bye bye blackberry until i get home	beers-blackberry bye-blackberry bye-blackberry
broke my french blackberry	french-blackberry
morning all. i need help...what's the best blackberry twitter app? twitterberry won't let my upload pics	need-help.what blackberry-app twitter-app upload-pics
cant sleep  so im playing around on my new blackberry pearl! this thing is awesome	new-blackberry
btw i totally miss having my blackberry or might i say crackberry... my mums teaching me a lesson for losing it no new one for me	btw-i new-one
i have about 5 cases for my blackberry bold and one of them is useful  now iam in a shop and looking forward 2 buy a second useful case	blackberry-bold second-case useful-case
i opened the blackberry  @kaseyrsm it tastes like shampoo! but it's kinda yum at the same time!	blackberry-@kaseyrsm kinda-yum same-time
@abrad45 it's more of a shut my blackberry up kind of thing.  but don't feel left out. it bugs me equally for all peoples messages!	peoples-messages
@joliowave nah its specifically for blackberry from what i read on the site. twitterberry	twitterberry-specifically
's blackberry battery is low without a charger.  i hate you micro usb.	blackberry-battery micro-usb
my blackberry storm so doesn't hold a charge like my 8830 did	blackberry-storm
*sigh* i got a new phone it's not a blackberry either. it sucks eggs.	new-phone
blackberry is broken  feeling withdrawal while it gets fixed. no more leashes. no more leashes.	leashes-more leashes-fixed
only have internet access thru my blackberry  i'm going crazy!!	internet-access
@sam_alvarado yea.. so i hear... i want one but then i also have all my girlies hooked up direct thru blackberry msgr.  i will miss them	@sam_alvarado-yea i-i hear-i blackberry-msgr.
@therapist_model just jumping on to catch up on twitter my blackberry died   i am lost. so who said i was out 4 pedi?any other wives w/ me	pedi.any-wives other-wives
ohhh. blackberry still broke   tomorrow: grad practice	ohhh-blackberry
thnk u i would say the same bout u but i can't see ur pic on my blackberry  how r u?? @joemoney111	thnk-i u-i same-u bout-u ur-pic
@cellphonerepair my blackberry would not wake up this morning  stupid thing! i know you get it	stupid-thing
i cant use my blackberry today. this sucks.	i-cant
@kim_flores aww i don't! i guess that's why it doesnt  (blackberrymessenger)	@kim_flores-aww i-guess
@arania nope i cant figure out how to get the updates on my blackberry. . . i need to go running too	@arania-cant nope-cant i-cant
i really want a blackberry  my sidekick is hella wack. night	hella-wack
my bed had tha nerve 2 call my blackberry askin me where the hell i was.......looks like i gotta go ya'll  i'll c u in 3.5hours	tha-nerve blackberry-askin
@mockingbird_ i'm good thanks! did you have a good drive? careful with your	good-drive
my wife lost her sprint blackberry 8330 on a bike ride in am.  anyone have an extra bb laying around? retweet	sprint-blackberry bike-ride extra-bb
gotta go my phone is on it's last leg so can't promise any update.  3 years i have had it so not bad though  dumb blackberry	last-leg bad-it dumb-blackberry
having problems with my blackberry ugh i need another charged battery! (@ least 4 now)  @sexyhunnybunny	blackberry-ugh
aaggh!! my blackberry curve took a gash in the screen the day after we get invisible shields in stock. well it'll be a good advertisement	blackberry-curve invisible-shields good-advertisement
my blackberry's got a fatty (battery)  guess we're kinda in the same boat huh @laurensanchez ?	same-@laurensanchez boat-@laurensanchez huh-@laurensanchez
want to get a blackberry but can't afford it  . just watching the telly and relaxing. hard sesion tomorrow.	hard-tomorrow sesion-tomorrow
@tutugirl1345 you could say that. i left it in vt and have been blackberryless since tuesday night. i'm lost	tuesday-i night-i
frustrated by my stupid iphone i need a blackberry!!!!	stupid-iphone
@kdpartak the ordered me a new blackberry to arrive tues! i may die between now and them without phone  i have withdraws already	new-blackberry tues.-i phone-i
help! anyone know if there are stores that carry blackberry trackballs? just went to verizon retailer; no luck. do not want to order one	help-anyone
setting up bookmarks on my new blackberry curve. now anyone from work can get ahold of me at anytime!	new-blackberry
@natalyathree damn! natalya! you gotta tell me whats going on!!! i'd call you but i lost all my phone numbers when i broke my blackberry	phone-numbers
my blackberry is about to die  bye bye twitter til i charge my phonee.	bye-i bye-i twitter-i til-i
i just vacuumed my blackberry in hopes of getting the water out. i hope children's is understanding and will replace it if all is lost	hope-children
i would follow everyone but my blackberry is dumb and it won't let me click the follow button. sorry	follow-button
gone for the weekend. wish i knew the twitter app for my blackberry..then i could keep in touch  ill miss you.	wish-i twitter-app blackberry.then-i
@bhggarden i wish you guys had a friendly mobile site! too painful to wait for your site to load on my blackberry	@bhggarden-i mobile-site
is frustrated with the flickr app that won't install on her blackberry!	flickr-app
@sparrowsail i know.  i tried to sideload files into the ipod. that's why i love my audiobooks. play on both ipod and blackberry.	sideload-files
got a blackberry and the &quot;a&quot; key doesn't work...that's an unfortunate problem  why do i have such terribly luck recently???	a-key unfortunate-problem such-luck terribly-luck
without my blackberry i really am lost  i don't know what i'm supposed to do or when i'm supposed to do it or with whom. le sigh.	blackberry-i
it was so much easier setting up my old blackberry and @twitpic than this new one	old-blackberry new-one
stupid fuckin blackberry broke!! so i'll be mobiletwitter-less. which means manyy less spontaneous tweets! leaving me very bitter  boo.	stupid-blackberry fuckin-blackberry spontaneous-tweets
man this damn blackberry storm is starting to have a mind of its own   can't wait till nex week wen the #treo pre comes out.	blackberry-storm nex-week #treo-pre
just got homeee  blackberry running low on bats!	homeee-blackberry
i really want to know where my black paramore shirt went...it had a sweet graphic...  btw pandora+blackberry= &lt;3	black-went.it paramore-went.it shirt-went.it sweet-pandora graphic-pandora btw-pandora
sos i lost my blackberry  help me by miracle i will get it back	sos-i miracle-i
i have had a good weekend got my blackberry fully up and running finally and celebrated my cuz 1st birthday. wish we had a 4 day weekend	good-weekend 1st-birthday day-weekend
a moment of silence 4 my blackberry. it passed away during the nite.  have to fork over the big $$$ for a new one  no berry no work. crap!	big-$ $-$ new-one
just finished reinstallimg my blackberry... a sync from the mac caused address book to go haywire	address-book
@rurouniyuudai85 i found the blackberry app store but no twitter app	@rurouniyuudai85-i blackberry-store app-store twitter-app
@dionnesouth lucky u ! i've just got a blackberry &amp; it seems 2 b 1 of the most awkward things install etc. so looking @ sun from pc	lucky-u awkward-things @-sun
@jasonbradbury lucky u ! i've just got a blackberry &amp; it seems 2 b 1 of the most awkward things install etc. so looking @ sun from pc	lucky-u awkward-things @-sun
wants a blackberry pearl	blackberry-pearl
sadly there is no wireless network i can mooch off of at the new casa until i get my own net. its just me &amp; the blackberry until then.	wireless-network new-casa own-net just-me
i need twitter on my blackberry to update this joint more often...any suggestions...i can not do short codes	joint-suggestions.i often.any-suggestions.i short-codes
sitting on the ferry to fireisland.  who knew this blackberry had a browser-told you i was a luddite.	browser-told-you
ok just updated my bb the restore wasn't too success if i do another restore will have duplicates or do i have to wipe my blackberry  ????	bb-updated my-bb
blackberry #3 bites the dust	#-bites 3-bites
i cant order blizzcon tickets from my blackberry!! dammit  sadface!	i-order cant-order blackberry-sadface dammit-sadface
i really miss my blackberry tho	blackberry-tho
@zerbinetta sounds much more indulgent than my oatbran/flax/blueberry/blackberry pancakes. they ached for maple syrup	oatbran/flax/blueberry-/ maple-syrup
i think its time for a new blackberry my trackball is stalling	new-blackberry
is sooo sad coz my blackberry died on me  took me 6 hours to fix it but now its alive and well yey!!!	sooo-coz sad-coz alive-yey
@niseywonderland ahh that sux.  poor soaked blackberry  lol	@niseywonderland-ahh sux-poor blackberry-lol
@eclecticbeautyy lolol...i gotta go get a new blackberry already...niggas gave me one with a fucked up batter	@eclecticbeautyy-lolol.i new-blackberry fucked-batter
my blackberry is deff donzo i can only twit txt and use the net	deff-donzo
i got a blackberry today but i really miss my palm phone	blackberry-today palm-phone
my stupiiieeedd blackberryy track ball wont go up and right :&quot;(	wont-stupiiieeedd blackberryy-wont track-wont ball-wont
@nkcruisegrl twitter won't let me turn on device updates for you. i'll have to text you when i leave work. i don't have a blackberry	@nkcruisegrl-twitter device-updates work-i
@mizzamber aww r.i.p blackberry	@mizzamber-blackberry aww-blackberry r.i.p-blackberry
@kindofathingboy @blackberrybell3 i dont really understand jon.	@kindofathingboy-dont @blackberrybell3-dont i-dont
sooo i came to this studio session with @mrmind and just now realizing all my verses are on my blackberry which is at home.	sooo-i studio-session
can someone please donate a t-mobile friendly blackberry? please  there's a crackberry shaped hole in my heart	someone-please t-mobile-blackberry friendly-blackberry shaped-hole
am thinking of getting a blackberry. ooh but i'm going to miss playing bubblewrap on ze iphone.	bubblewrap-playing ze-iphone
i want to get the blackberry 8900 javelin from rogers but its too much $$	blackberry-javelin
my blackberry is drivn me nutz ! omg  works 5min out of the day  ! !	nutz-omg
fml without a phone for a week  stupid blackberry's rediculousss!	week-blackberry stupid-blackberry
@biosshadow blackberry internet service.	blackberry-service internet-service
at the blackberry storm party and this line is annoying	blackberry-party storm-party
@cocosworld i can't view via blackberry!!!!	@cocosworld-i
i'm the only one here without a blackberry	only-one
lame! dropped my blackberry on the trail &amp; it was too dark to find it  ahhh  the induced anxiety when 1 is separated from their phone	induced-anxiety
@blackberrygirl7 if it wasn't 4 love i'd b in bed! ... after 2night mike and i will b on oppisite life schedules	2night-mike oppisite-schedules life-schedules
my twitterberry is acting weird.  does anyone know why it says internal twitter error when you try to update on your blackberry?? help.	internal-error twitter-error blackberry-help
wants to get a iphone or blackberry but my contract isnt ready for an upgrade  badtimes!	contract-isnt upgrade-badtimes
nextel blackberry is 250 as well and both have 100 mail in rebate wtf guys which one should i get	nextel-blackberry rebate-guys wtf-guys
someone unlock my blackberry  i'm getting impatient.	blackberry-i
@angelistic i have 2 blackberry curves &amp; a bold on my table. all have problems and seller didn't take responsibility for it	@angelistic-i blackberry-curves
@shahbaa @aliafattouch i know.. i so need a blackberry!  p.s zanzibar!! im so jealous!	@shahbaa-@aliafattouch p.s-zanzibar jealous-blackberry
some bitch stole my blackberry the other night in santa monica. still pissed	other-night santa-monica
:  i will be in paducah tonight. my blackberry is still broken though   and the longhorns won in extra innings without cheating. congrats.	extra-innings
@danwegner since the link doesn't work on a blackberry - due to twit-o-matic script	twit-o-matic-script
